"grantID","acronym","title","startdate","enddate","callidentifier","ecsc39","funding_level_0","organization"
"318497","SEMAGROW","SemaGrow: Data intensive techniques to boost the real-time performance of global agricultural data infrastructures","2012-11-01","2015-10-31","FP7-ICT-2011-8","false","FP7","KNOW"
"283770","AGINFRA","A data infrastructure to support agricultural scientific communities","2011-10-15","2015-02-14","FP7-INFRASTRUCTURES-2011-2","false","FP7","KNOW"
"296150","CODE","Commercially empowered Linked Open Data Ecosystems in Research","2012-05-01","2014-04-30","FP7-ICT-2011-SME-DCL","false","FP7","KNOW"
"269180","WIQ-EI","Web Information Quality Evaluation Initiative","2011-06-01","2015-05-31","FP7-PEOPLE-2010-IRSES","false","FP7","KNOW"
"308429","WESENSEIT","WeSenseIT: Citizen Observatory of Water","2012-10-01","2016-09-30","FP7-ENV-2012-two-stage","true","FP7","KNOW"
"600601","EEXCESS","Enhancing Europe’s eXchange in Cultural Educational and Scientific Resource","2013-02-01","2016-07-31","FP7-ICT-2011-9","false","FP7","KNOW"
"289461","GRASSMARGINS","Enhancing biomass production from marginal lands with perennial grasses","2011-10-01","2015-09-30","FP7-KBBE-2011-5","false","FP7","KNOW"
"619532","EPPICS","Event Prediction and Decision Support based on Huge Data from Physical-Social Systems","2014-02-01","2017-01-31","FP7-ICT-2013-11","true","FP7","KNOW"
"257617","MIRROR","MIRROR - Reflective Learning at Work","2010-07-01","2014-06-30","FP7-ICT-2009-5","false","FP7","KNOW"
"231913","STELLAR","Sustaining Technology Enhanced Learning Large-scale multidisciplinary Research","2009-02-01","2012-05-31","FP7-ICT-2007-3","false","FP7","KNOW"
"215068","ALL-TIMES","Integrating European Timing Analysis Technology","2007-12-01","2010-02-28","FP7-ICT-2007-1","false","FP7","KNOW"
"261389","EVAL-HEALTH","DEVELOPING AND TESTING OF NEW METHODOLOGIES TO MONITOR AND EVALUATE HEALTH RELATED EU-FUNDED INTERVENTIONS IN COOPERATION PARTNER COUNTRIES","2011-01-01","2013-12-31","FP7-HEALTH-2010-single-stage","true","FP7","KNOW"
"254944","SIGMACADE","Subdivision based IsoGeometric Modelling Applied to Computer Aided Design and Engineering","2011-03-01","2014-06-28","FP7-PEOPLE-2009-IEF","false","FP7","TU GRAZ"
"331239","YOUTH","Adolescent age estimation from magnetic resonance images","2013-05-02","2015-05-01","FP7-PEOPLE-2012-IEF","false","FP7","TU GRAZ"
"302228","ITRIS","Interaction Trichoderma-Stenotrophomonas and its effect on plant growth and health","2013-06-01","2015-05-31","FP7-PEOPLE-2011-IEF","false","FP7","TU GRAZ"
"618158","PHOTOPATTTOCELL","Photopatterning of Cellulose Films for Creation of 2- and 3-Dimensional Nanostructures","2013-09-01","2016-08-31","FP7-PEOPLE-2013-CIG","false","FP7","TU GRAZ"
"626889","THREE-S","Smart multi Stimuli-responsive Supports for controlled cell growth","2014-05-01","2016-04-30","FP7-PEOPLE-2013-IIF","false","FP7","TU GRAZ"
"267233","OXYGEN","How oxygen regulates the structure and function of microbial ecosystems","2011-04-01","2016-03-31","ERC-2010-AdG_20100224","false","FP7","TU GRAZ"
"278084","DAFNE","Development of gamma-TiAl forgings in a low-cost near conventional hot-die process and process evaluation","2011-04-01","2014-09-30","SP1-JTI-CS-2010-04","false","FP7","TU GRAZ"
"251514","TEAM","Transferring knowledgE on Academic knowledge Management","2010-07-01","2014-06-30","FP7-PEOPLE-2009-IAPP","false","FP7","TU GRAZ"
"224017","ICT-ENSURE","European ICT Environmental Sustainability Research","2008-05-01","2010-04-30","FP7-ICT-2007-2","false","FP7","TU GRAZ"
"233666","EUROTURBO 8","Support to Eighth European Conference on Turbomachinery – Fluid Dynamics and Thermodynamics, Graz, March 2009","2008-05-08","2009-05-07","FP7-AAT-2008-RTD-1","false","FP7","TU GRAZ"
"230224","CASOPT","Controlled Component and Assembly-Level Optimization of Industrial Devices","2009-04-01","2013-03-31","FP7-PEOPLE-IAPP-2008","false","FP7","TU GRAZ"
"248320","FUTURE BNCI","Future Directions in Brain/Neuronal Computer Interaction (BNCI) Research","2010-01-01","2011-12-31","FP7-ICT-2009-4","false","FP7","TU GRAZ"
"619762","LEAS BOX","Tools for Competence-Centred, Multi-Source Learning Analytics","2014-03-01","2016-12-31","FP7-ICT-2013-11","false","FP7","TU GRAZ"
"225354","SERON","Security of Road Transport Networks","2009-11-01","2012-10-31","FP7-ICT-SEC-2007-1","false","FP7","TU GRAZ"
"232172","BIOSURF","Development and implementation of a contact biocide polymer for its application as antimicrobial and anti-deposit surfaces in the food industry","2009-06-01","2011-08-31","FP7-SME-2008-1","false","FP7","TU GRAZ"
"246977","NUMSIM","Numerical simulation in technical sciences","2010-11-01","2014-10-31","FP7-PEOPLE-2009-IRSES","false","FP7","TU GRAZ"
"256850","H2FC-LCA","Development of Guidance Manual for LCA application to Fuel cells and Hydrogen technologies","2010-10-01","2011-09-30","FCH-JU-2009-1","false","FP7","TU GRAZ"
"317826","RELYONIT","Research by Experimentation for Dependability on the Internet of Things","2012-10-01","2015-01-31","FP7-ICT-2011-8","false","FP7","TU GRAZ"
"610886","CLINICIMPPACT","Clinical Intervention Modelling, Planning and Proof for Ablation Cancer Treatment","2014-02-01","2017-07-31","FP7-ICT-2013-10","false","FP7","TU GRAZ"
"257433","SEPIA","Secure, Embedded Platform with advanced Process Isolation and Anonymity Capabilities","2010-06-01","2013-05-31","FP7-ICT-2009-5","false","FP7","TU GRAZ"
"223877","IMPPACT","Image-based Multi-scale Physiological Planning for Ablation Cancer Treatment","2008-09-01","2011-12-31","FP7-ICT-2007-2","false","FP7","TU GRAZ"
"316959","DOHIP","Training Program for the Design of Resource and Energy Efficient Products by High Pressure Processes","2013-02-01","2017-01-31","FP7-PEOPLE-2012-ITN","false","FP7","TU GRAZ"
"288566","BACKHOME","Brain-neural computer interfaces on track to home – Development of a practical generation of BNCI for independent home use","2012-01-01","2015-06-30","FP7-ICT-2011-7","false","FP7","TU GRAZ"
"610436","MATTHEW","Multi-entity-security using active Transmission Technology for improved Handling of Exportable security credentials Without privacy restrictions","2013-11-01","2016-10-31","FP7-ICT-2013-10","false","FP7","TU GRAZ"
"231267","ORGANIC","Self-organized recurrent neural learning for language processing","2009-04-01","2012-03-31","FP7-ICT-2007-3","true","FP7","TU GRAZ"
"318622","COLOMBO","Cooperative Self-Organizing System for low Carbon Mobility at low Penetration Rates","2012-11-01","2015-10-31","FP7-ICT-2011-8","false","FP7","TU GRAZ"
"606464","BIOCHIPFEEDING","Wood chip feeding technology of the future for small-scale biomass boilers","2013-10-01","2015-09-30","FP7-SME-2013","false","FP7","TU GRAZ"
"604656","NANOSIM","A Multiscale Simulation-Based Design Platform for Cost-Effective CO2 Capture Processes using Nano-Structured Materials (NanoSim)","2014-01-01","2017-12-31","FP7-NMP-2013-SMALL-7","false","FP7","TU GRAZ"
"216474","COPPER","Copper Interconnects for Advanced Performance and Reliability","2008-01-01","2010-11-30","FP7-ICT-2007-1","false","FP7","TU GRAZ"
"248277","DRAGON","Design methods for Radio Architectures GOing Nanoscale","2010-02-01","2013-05-31","FP7-ICT-2009-4","false","FP7","TU GRAZ"
"268189","EU-ULTRALOWDUST","Next generation small-scale biomass combustion technologies with ultra-low emissions","2011-01-01","2014-03-31","FP7-ENERGY-2010-2","false","FP7","TU GRAZ"
"216593","SECO","Self-Constructing Computing Systems","2008-03-01","2013-02-28","FP7-ICT-2007-1","false","FP7","TU GRAZ"
"247447","BRAINABLE","Autonomy and social inclusion through mixed reality Brain-Computer Interfaces: Connecting the disabled to their physical and social world","2010-01-01","2012-12-31","FP7-ICT-2009-4","false","FP7","TU GRAZ"
"224416","HYDROSYS","HYDROSYS: Advanced spatial analysis tools for on-site environmental monitoring and management","2008-06-01","2011-05-31","FP7-ICT-2007-2","false","FP7","TU GRAZ"
"247708","SUDPLAN","Sustainable Urban Development Planner for Climate Change Adaptation","2010-01-01","2012-12-31","FP7-ICT-2009-4","false","FP7","TU GRAZ"
"245084","ANIMPOL","Biotechnological conversion of carbon containing wastes for eco-efficient production of high added value products","2010-01-01","2012-12-31","FP7-KBBE-2009-3","false","FP7","TU GRAZ"
"248782","SCATH","Smart Catheterization","2010-02-01","2013-01-31","FP7-ICT-2009-4","false","FP7","TU GRAZ"
"248537","PEBBLE","POSITIVE-ENERGY BUILDINGS  THRU BETTER CONTROL DECISIONS","2010-01-01","2012-12-31","FP7-ICT-2009-4","false","FP7","TU GRAZ"
"282825","MACSHEEP","New Materials and Control for a next generation of compact combined Solar and heat pump systems  with boosted energetic and exergetic performance","2012-01-02","2016-01-01","FP7-ENERGY-2011-1","true","FP7","TU GRAZ"
